Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Türkiye,2017,352.2785685569864,3866.0,16.6,34.5,3.4,31.4,0.7464399963253632
Belgium,2018,428.5726066621053,23686.0,36.0,65.5,2.3,41.6,0.980009983325536
Bulgaria,2018,465.5193744119426,3590.0,24.8,67.8,2.4,45.4,0.7500800351656511
Czechia,2018,547.1075314878198,9088.0,21.7,72.2,2.4,42.3,0.737919955807791
Denmark,2018,608.5203911305458,30104.0,32.6,73.9,2.0,41.8,0.8787400520156945
Germany,2018,450.63211213799207,22713.0,25.2,74.8,2.0,46.0,0.7731199978307906
Estonia,2018,415.6078272623003,10524.0,34.1,76.8,2.2,42.0,0.6888001833617378
Ireland,2018,327.6992371697538,24920.0,40.5,67.9,2.6,37.3,0.6317000991922448
Spain,2018,486.6379662416628,14785.0,34.0,61.0,2.5,43.5,0.8032100002064202
France,2018,444.3778453042499,22220.0,32.8,68.9,2.2,41.6,0.8044399930742787
Italy,2018,503.1598857141313,16844.0,17.2,53.2,2.3,46.4,0.7043799948892584
Cyprus,2018,447.4101981403228,15336.0,39.4,68.9,2.7,37.5,0.6681000073020787
Latvia,2018,298.5904003300284,7333.0,30.1,74.7,2.3,43.3,0.6814200482156775
Lithuania,2018,501.0657419857052,6895.0,36.1,76.7,2.2,44.0,0.676789897567162
Luxembourg,2018,316.5555103362928,34472.0,38.3,68.0,2.3,39.4,0.9098100172711572
Hungary,2018,282.35056731992233,5424.0,21.7,70.8,2.3,42.6,0.7135100337944695
Malta,2018,392.7052862350659,14781.0,24.7,63.2,2.5,40.4,0.9461197201989148
Austria,2018,499.5740890635026,25176.0,30.1,71.7,2.2,43.2,0.5829700534617813
Poland,2018,251.93685273283575,6574.0,27.2,64.5,2.8,40.6,0.600579990651683
Portugal,2018,504.3792576653698,9346.0,22.6,71.5,2.5,45.0,0.6521099840117809
Romania,2018,213.8998164228895,3284.0,15.5,54.5,2.6,42.1,0.5399799835369984
Slovenia,2018,311.2623858182381,13244.0,28.7,71.2,2.5,43.8,0.545410228295178
Slovakia,2018,414.117087258778,7462.0,22.0,70.3,2.9,40.2,0.5372599655832786
Finland,2018,369.6196171684687,24544.0,37.3,73.4,2.0,42.7,0.8538200805906961
Sweden,2018,445.1604022907752,25540.0,37.1,79.7,2.0,40.6,0.8743099653727184
Norway,2018,456.62348443118736,39438.0,37.5,78.0,2.0,39.5,0.8224800618082064
Türkiye,2018,347.71725588962573,3499.0,17.3,35.2,3.4,31.7,0.7514299962936941
Belgium,2019,446.1117673820696,24608.0,36.0,66.5,2.3,41.7,0.9804100102881196
Bulgaria,2019,408.7421966914167,4224.0,24.7,70.2,2.4,45.8,0.7534700515112259
Czechia,2019,559.153533986463,9995.0,21.6,72.7,2.3,42.6,0.7392099978729126
Denmark,2019,614.9316929282945,30717.0,33.4,74.7,2.0,41.9,0.8799399149218959
Germany,2019,456.6225520058138,23515.0,26.0,75.5,2.0,46.0,0.7737599966649402
Estonia,2019,414.8546805373998,11461.0,34.7,77.5,2.1,42.1,0.690509745285621
Ireland,2019,357.5356298365228,25422.0,40.7,68.8,2.8,37.7,0.6340499438628063
Spain,2019,481.1704584035196,15015.0,35.1,62.1,2.5,43.9,0.8056499908973909
France,2019,470.75658204853136,22562.0,33.8,69.4,2.1,41.8,0.8070900040498308
